priority,task_id,task_name,recommended_v0_seed,gold_answer,possible_answer_count,shared_fact_count,private_fact_count,avg_private_fact_chars,manual_fact_draft,perturbation_draft,packet_rows,readiness,next_action,private_surface
DONE,3,evacuation_east_town,True,East Town,3,4,4,59.8,True,True,3,packetized_shortlist_seed,keep as current HSA packet coverage,"The river level is just below the bridge to West City. || The dam upstream will release water in a minute. || The walking trails have been closed since last weekend due to fallen trees. || A mudslide just occurred, covering the driveway to North Hill."
DONE,5,baker_2010,True,Roberts,3,33,4,700.5,True,True,3,packetized_shortlist_seed,keep as current HSA packet coverage,Stevens' information: - Stevens left the dean position at the Mississippi University befor || Stevens' information: - Comments from faculty in Florida and Mississippi indicate thatStev || Stevens' information: - Left the dean position at the Mississippi University before raisin || Stevens' information: - Comments from faculty in Florida and Mississippi indicate thatStev
DONE,10,emergency_supply_drop,True,Warehouse C,3,3,4,167.8,True,True,3,packetized_shortlist_seed,keep as current HSA packet coverage,"The bridge near Warehouse A has completely collapsed in the flooding, making it impossible || Helicopter pilots report seeing standing water and large debris still blocking the main ap || Although Warehouse C is farthest from the airstrip, elevated service roads leading to the  || Warehouse B has had minor chemical leaks in the past, and after the flood, sensors are det"
DONE,11,emergency_conference_relocation,True,School Gym,3,4,4,156.2,True,True,3,packetized_shortlist_seed,keep as current HSA packet coverage,Library staff admit privately that their backup generator only has enough fuel for 2 hours || The School Gym's restrooms are being restored right now. The on-site janitor confirms that || The Community Center basement has had a chemical leak that was just discovered today; the  || The main conference hall at College Hall flooded this morning and is closed for at least a
DONE,12,evacuate_park_dilemma,True,Green Valley,3,4,4,152.8,True,True,3,packetized_shortlist_seed,keep as current HSA packet coverage,"Green Valley pest outbreak closure only applies to tourists; local officials have confirme || An emergency text alert just announced that a sinkhole appeared across the only road to Re || All power at Blueberry Ridge went out midday, including backups. Emergency medical equipme || The bridge over Pine Creek, a key access point to Blueberry Ridge, collapsed in today's st"
DONE,21,emergency_transportation_decision,True,Celestia Airstrip,3,3,4,133.8,True,True,3,packetized_shortlist_seed,keep as current HSA packet coverage,"Local authorities just suspended all trains to Aurora after a landslide covered the main t || A wildlife alert just closed the main access road to Aurora for emergency protection. No v || The bus route to Borealis has been rerouted due to a bridge closure, with all arrivals del || Celestia Airstrip completed emergency upgrades this week: it’s now able to service large g"
DONE,27,research_station_site_selection,True,Pine Ridge,3,3,4,176.0,True,True,3,packetized_shortlist_seed,keep as current HSA packet coverage,The only reliable access road to Pine Ridge has been repaired and upgraded recently for fo || Copper Lake's soil cannot support buildings taller than 1 story or heavy equipment without || The geological survey revealed that Maple Valley sits directly atop a recently discovered  || A newly released government study says that the local community near Maple Valley is organ
DONE,31,weather_sensor_deployment,True,Gamma Lake,3,3,4,195.5,True,True,3,packetized_shortlist_seed,keep as current HSA packet coverage,A radio transmission indicates the bridge to Beta Valley has just collapsed due to floodwa || A recent geologist’s note (found on a desk) says Alpha Ridge’s summit is unstable after la || An old cache of equipment logs reveals a small boat is moored at the southern shore of Gam || An urgent message states that sudden gale-force winds will hit Alpha Ridge in the next few
DONE,44,Choosing the Safe Offsite Venue,True,Hilltop Retreat,3,4,4,168.2,True,True,3,packetized_shortlist_seed,keep as current HSA packet coverage,The city power company advises that the Downtown Hotel's generator needs immediate refueli || The main bridge to Riverside Conference Center has just been shut for emergency repairs du || An urgent news report says that flooding has started at key subway stations serving Downto || The alternate highway to Hilltop Retreat is partially blocked by fallen trees: only the ma
DONE,51,emergency_supply_distribution,True,Charlie Storage,3,4,4,147.2,True,True,3,packetized_shortlist_seed,keep as current HSA packet coverage,"Bravo Storage's power is still out, but it only contains canned/dry goods (which are not u || The temperature at Alpha Storage rose above safe refrigeration levels overnight; most peri || The road to Charlie Storage is passable after a city technician manually raised the crossi || Alpha Storage's backup generator failed during the last refueling attempt and cannot be re"
