report_path,report_family,why_unreferenced_before_this_audit,triage_decision,destination,next_action
reports/20260616-external-novelty-pressure-epistemic-type-erasure.md,external_pressure,related-work positioning rather than new model result,keep_as_related_work_pressure,related_work_and_story_notes,use only when writing novelty boundary
reports/20260616-research-progress-synthesis.md,synthesis,superseded by current table system,keep_as_historical_synthesis,report_background,no numeric table row needed
reports/20260617-a8002-docker-feasibility.md,infrastructure,TeamBench docker feasibility note not a model result,keep_as_infra_constraint,benchmark_feasibility_notes,use only when discussing docker-required benchmarks
reports/20260617-hiddenbench-stage2-external-pressure.md,external_pressure,HiddenBench literature pressure note not separate run,keep_as_hb_related_work_pressure,HiddenBench_background,cite for hidden-profile novelty caveat
reports/20260617-hiddenbench-v2-stage3-blind-sender-preflight.md,preflight,launch contract with no model result,keep_as_preflight_record,HiddenBench_preflight_records,no main or appendix metric row
reports/20260617-hiddenbench-v2-stage4-qwen25-7b-pressure.md,HiddenBench,result-bearing 7B cross-model pressure omitted from rows,add_to_owned_results_rows,owned_results_main_table_rows,added as HiddenBench Stage 4 7B background
reports/20260617-hiddenbench-v2-stage4-sender-visibility-preflight.md,preflight,launch contract with no model result,keep_as_preflight_record,HiddenBench_preflight_records,no main or appendix metric row
reports/20260617-hiddenbench-v2-stage4-sender-visibility-smoke12-qwen25-14b.md,HiddenBench,smoke result superseded by full65 stage4,subsumed_by_full65_stage4,owned_results_main_table_snapshot_background,use only for execution provenance
reports/20260617-math-operator-lifecycle-v1-packet.md,MATH_operator_lifecycle,packet audit not behavior result,keep_as_packet_record,appendix_context,no metric row beyond paired behavior run
reports/20260617-math-operator-lifecycle-v1-qwen25-14b.md,MATH_operator_lifecycle,result-bearing operator uptake microscope omitted from appendix,add_to_appendix_rows,appendix_owned_results_rows,added as MATH Operator Lifecycle appendix row
reports/20260617-next-typecast-experiment-preflight.md,TypeCast,design gate with no new behavior result,keep_as_design_gate,TypeCast_appendix_context,use only to justify stopping live TypeCast scaling
reports/20260618-reviewer-verdict-state-admission-series.md,StateAdmission_review,reviewer-style critique not separate run,keep_as_reviewer_gate,StateAdmission_strategy,use when bounding V1/V2 claims
reports/20260618-routing-story-reading-sprint.md,external_pressure,reading sprint and story synthesis not separate run,keep_as_story_pressure,benchmark_and_related_work_notes,use when framing routing benchmark pressure
reports/20260618-skill-guided-state-admission-v2-preflight.md,StateAdmission_preflight,preflight and design contract with prior evidence recap,keep_as_preflight_record,StateAdmission_V2_context,use when explaining V2 launch gate
reports/20260618-state-admission-v2-abstention-gate-ablation.md,StateAdmission_V2,result-bearing ablation omitted from rows,add_to_owned_results_rows,owned_results_main_table_rows,added as SA-V2 abstention gate diagnostic row
reports/20260618-state-admission-v2-smoke-gpu.md,StateAdmission_V2,result-bearing GPU smoke omitted from rows,add_to_owned_results_rows,owned_results_main_table_rows,added as SA-V2 smoke GPU diagnostic row
