condition_family,condition,source_path,rows,base_rows,perturbation_rows,strict_count,strict_rate,base_strict_rate,perturbation_strict_rate,slot_recall,extra_final_card_count,forced_commitment_rate,claim_role,caveat
oracle,oracle_admissible_facts,experiments/20260618-local-hsa-v0-sseac-adapter/summary_hsa_oracle_admissible_facts.md,9,3,6,9/9,1.0000,1.0000,1.0000,0.8333,0,0.0000,upper_bound,uses admissible facts from scorer-side oracle
lower_bound,shared_only_verified,experiments/20260618-local-hsa-v0-sseac-adapter/summary_hsa_shared_only_verified.md,9,3,6,6/9,0.6667,0.0000,1.0000,0.1759,24,0.3333,communication_necessity_lower_bound,base rows fail while perturbation rows pass by insufficient-evidence target
over_admission,all_scoped_verified,experiments/20260618-local-hsa-v0-sseac-adapter/summary_hsa_all_scoped_verified.md,9,3,6,9/9,1.0000,1.0000,1.0000,0.8333,24,0.0000,over_admission_control,answer strict is perfect but extra final cards reveal over-admission
model,structured_model_only_qwen25_14b_full9,experiments/20260619-a8002-hsa-v0-sseac-full9-qwen25-14b/summary_model_only.md,9,3,6,3/9,0.3333,0.6667,0.1667,0.8148,8,0.5556,model_only_ablation,same model output without hard admission; perturbation rows often force commitment
model,sseac_qwen25_14b_compiler_full9,experiments/20260619-a8002-hsa-v0-sseac-full9-qwen25-14b/summary_compiler.md,9,3,6,7/9,0.7778,0.3333,1.0000,0.7130,8,0.7778,diagnostic_model_row,perturbation rows all pass; two base rows fail because candidate evidence recall misses required cards
model,recall_sweep_model_only_qwen25_14b_full9,experiments/20260619-a8002-hsa-v0-recall-sweep-full9-qwen25-14b/summary_model_only.md,9,3,6,5/9,0.5556,0.6667,0.5000,0.9259,19,0.0000,recall_sweep_model_only,recall improves but over-admits more final cards before hard admission
model,recall_sweep_sseac_qwen25_14b_compiler_full9,experiments/20260619-a8002-hsa-v0-recall-sweep-full9-qwen25-14b/summary_compiler.md,9,3,6,8/9,0.8889,0.6667,1.0000,0.7963,19,0.3333,recall_sweep_compiler,strict improves over baseline compiler but extra final cards rise sharply
model,focused_recall_model_only_qwen25_14b_full9,experiments/20260619-a8002-hsa-v0-focused-recall-full9-qwen25-14b/summary_model_only.md,9,3,6,5/9,0.5556,1.0000,0.3333,0.9167,12,0.2222,focused_recall_model_only,model-only base rows pass but perturbation rows often fail
model,focused_recall_sseac_qwen25_14b_compiler_full9,experiments/20260619-a8002-hsa-v0-focused-recall-full9-qwen25-14b/summary_compiler.md,9,3,6,8/9,0.8889,0.6667,1.0000,0.8148,12,0.5556,focused_recall_compiler,keeps 8/9 while lowering extra final cards versus recall_sweep
model,constraint_recall_model_only_qwen25_14b_full9,experiments/20260619-a8002-hsa-v0-constraint-recall-full9-qwen25-14b/summary_model_only.md,9,3,6,5/9,0.5556,1.0000,0.3333,0.8981,10,0.2222,constraint_recall_model_only,model-only base rows pass but perturbation rows often fail
model,constraint_recall_sseac_qwen25_14b_compiler_full9,experiments/20260619-a8002-hsa-v0-constraint-recall-full9-qwen25-14b/summary_compiler.md,9,3,6,8/9,0.8889,0.6667,1.0000,0.7963,10,0.5556,current_best_prompt_only_hsa_diagnostic_row,keeps 8/9 and has lowest extra final cards among prompt-only 8/9 model rows
postfilter,constraint_completion_model_only_full9,experiments/20260619-local-hsa-v0-constraint-completion-postfilter/summary_model_only.md,9,3,6,5/9,0.5556,1.0000,0.3333,0.9352,10,0.1111,constraint_completion_model_only,reuses constraint_recall predictions and adds visible verified blocker completions
postfilter,constraint_completion_sseac_compiler_full9,experiments/20260619-local-hsa-v0-constraint-completion-postfilter/summary_compiler.md,9,3,6,9/9,1.0000,1.0000,1.0000,0.8333,10,0.4444,current_best_hsa_diagnostic_row,reuses constraint_recall predictions; local postfilter diagnostic not new model generation
oracle,oracle_admissible_facts_extended15,experiments/20260619-local-hsa-v0-extended15-packet/summary_hsa_oracle_admissible_facts.md,15,5,10,15/15,1.0000,1.0000,1.0000,0.8400,0,0.0000,extended15_upper_bound,merged 9 plus HB12/HB31 6-row packet; transparent control gate
lower_bound,shared_only_verified_extended15,experiments/20260619-local-hsa-v0-extended15-packet/summary_hsa_shared_only_verified.md,15,5,10,10/15,0.6667,0.0000,1.0000,0.1956,39,0.3333,extended15_communication_necessity_gate,base rows fail under shared-only information while perturbation rows pass by insufficient-evidence target
over_admission,all_scoped_verified_extended15,experiments/20260619-local-hsa-v0-extended15-packet/summary_hsa_all_scoped_verified.md,15,5,10,15/15,1.0000,1.0000,1.0000,0.8400,39,0.0000,extended15_over_admission_control,perfect strict but extra final cards expose all-scoped over-admission
model,constraint_recall_model_only_qwen25_14b_extended15,experiments/20260619-a8002-hsa-v0-constraint-recall-extended15-qwen25-14b/summary_model_only.md,15,5,10,7/15,0.4667,1.0000,0.2000,0.9389,13,0.1333,extended15_model_only,model direct output solves base rows but often force-commits on perturbation rows
model,constraint_recall_sseac_qwen25_14b_compiler_extended15,experiments/20260619-a8002-hsa-v0-constraint-recall-extended15-qwen25-14b/summary_compiler.md,15,5,10,14/15,0.9333,0.8000,1.0000,0.8178,10,0.6000,extended15_compiler_model_row,hard admission fixes perturbation rows and keeps extra final cards at 10; one base row misses hb01_hidden_2
postfilter,constraint_completion_model_only_qwen25_14b_extended15,experiments/20260619-a8002-hsa-v0-constraint-recall-extended15-qwen25-14b/summary_completion_model_only.md,15,5,10,7/15,0.4667,1.0000,0.2000,0.9611,13,0.0667,extended15_completion_model_only,adds two visible verified blocker units but model-only still force-commits on perturbation rows
postfilter,constraint_completion_sseac_qwen25_14b_compiler_extended15,experiments/20260619-a8002-hsa-v0-constraint-recall-extended15-qwen25-14b/summary_completion_compiler.md,15,5,10,15/15,1.0000,1.0000,1.0000,0.8400,10,0.5333,extended15_best_hsa_model_backed_row,postfilter adds only hb01_hidden_2 on two rows; strict reaches 15/15 with extra final cards 10
oracle,oracle_admissible_facts_p0p1_33,experiments/20260619-local-hsa-v0-p0p1-seed-expansion33-draft/packet/summary_hsa_oracle_admissible_facts.md,33,11,22,33/33,1.0000,1.0000,1.0000,0.8394,0,0.0000,p0p1_33_upper_bound,transparent control for 11 P0/P1 seeds
lower_bound,shared_only_verified_p0p1_33,experiments/20260619-local-hsa-v0-p0p1-seed-expansion33-draft/packet/summary_hsa_shared_only_verified.md,33,11,22,22/33,0.6667,0.0000,1.0000,0.0818,111,0.3333,p0p1_33_communication_necessity_gate,base rows fail under shared-only information while perturbation rows pass by insufficient-evidence target
over_admission,all_scoped_verified_p0p1_33,experiments/20260619-local-hsa-v0-p0p1-seed-expansion33-draft/packet/summary_hsa_all_scoped_verified.md,33,11,22,33/33,1.0000,1.0000,1.0000,0.8394,111,0.0000,p0p1_33_over_admission_control,perfect strict but extra final cards expose all-scoped over-admission
model,constraint_recall_model_only_qwen25_14b_p0p1_33,experiments/20260619-a8002-hsa-v0-constraint-recall-p0p1-33-qwen25-14b/summary_model_only.md,33,11,22,15/33,0.4545,0.9091,0.2273,0.9591,40,0.0909,p0p1_33_model_only,model direct output solves most base rows but often force-commits on perturbation rows
model,constraint_recall_sseac_qwen25_14b_compiler_p0p1_33,experiments/20260619-a8002-hsa-v0-constraint-recall-p0p1-33-qwen25-14b/summary_compiler.md,33,11,22,32/33,0.9697,0.9091,1.0000,0.8273,37,0.5455,p0p1_33_compiler_model_row,hard admission fixes perturbation rows and keeps extra final cards far below all-scoped 111; one base row misses hb03_hidden_2
postfilter,constraint_completion_model_only_qwen25_14b_p0p1_33,experiments/20260619-a8002-hsa-v0-constraint-recall-p0p1-33-qwen25-14b/summary_completion_model_only.md,33,11,22,15/33,0.4545,0.9091,0.2273,0.9712,40,0.0606,p0p1_33_completion_model_only,adds two visible verified blocker units but model-only still force-commits on perturbation rows
postfilter,constraint_completion_sseac_qwen25_14b_compiler_p0p1_33,experiments/20260619-a8002-hsa-v0-constraint-recall-p0p1-33-qwen25-14b/summary_completion_compiler.md,33,11,22,33/33,1.0000,1.0000,1.0000,0.8394,37,0.5152,p0p1_33_best_hsa_model_backed_row,postfilter adds only hb03_hidden_2 on two rows; strict reaches 33/33 with extra final cards 37
