condition_family,condition,source_path,model,strict_count,strict_rate,required_coverage,boundary_precision,budget_pass,utility_ratio,raw_utility_ratio,exact_target_role_rate,claim_role,caveat
oracle,oracle_utility,experiments/20260618-local-sseac-v0-pg40-prediction-converter/summary_pg40_oracle_utility.md,deterministic,40/40,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,upper_bound,gold utility target
transparent_baseline,eligible_all_after_sseac_compiler,experiments/20260618-local-sseac-v0-pg40-prediction-converter/summary_pg40_eligible_all.md,deterministic,13/40,0.3250,0.9112,0.9595,1.0000,0.9731,0.9731,0.9133,executor_order_baseline,hard executor fixes budget but input order drops strict
transparent_baseline,eligible_cheapest_after_sseac_compiler,experiments/20260618-local-sseac-v0-pg40-prediction-converter/summary_pg40_eligible_cheapest.md,deterministic,14/40,0.3500,0.8639,0.8439,1.0000,0.8927,0.8927,0.7242,cheap_source_baseline,cheap feasible choice loses coverage and exact role
strong_transparent_baseline,utility_density_greedy_after_sseac_compiler,experiments/20260618-local-sseac-v0-pg40-prediction-converter/summary_pg40_utility_density_greedy.md,deterministic,25/40,0.6250,0.9497,0.9386,1.0000,0.9825,0.9825,0.8775,strong_baseline,current baseline to beat
old_model_output,source_ledger_7b_fullprompt_budget_compiled,experiments/20260618-local-sseac-v0-pg40-prediction-converter/summary_pg40_source_ledger_7b_fullprompt_budget_compiled.md,Qwen2.5-7B reused output,2/40,0.0500,0.4675,0.7783,1.0000,0.6034,0.6034,0.3712,old_source_ledger_diagnostic,old prompt had no tight-budget utility target
old_model_output,source_ledger_14b_fullprompt_budget_compiled,experiments/20260618-local-sseac-v0-pg40-prediction-converter/summary_pg40_source_ledger_14b_fullprompt_budget_compiled.md,Qwen2.5-14B reused output,11/40,0.2750,0.7515,0.9270,1.0000,0.8707,0.8707,0.6842,old_source_ledger_diagnostic,high precision but below utility-density greedy
new_model_output,utility_aware_source_ledger_raw_qwen25_14b,experiments/20260618-a8002-perspectivegap-tight-budget-source-ledger-rotated20-qwen25-14b/summary_raw.md,Qwen2.5-14B,0/40,0.0000,0.7781,0.5313,0.0250,0.1473,1.2052,0.1567,raw_budget_failure,raw output over-selects and feasible utility collapses
new_model_output,utility_aware_source_ledger_budget_compiled_qwen25_14b,experiments/20260618-a8002-perspectivegap-tight-budget-source-ledger-rotated20-qwen25-14b/summary_budget_compiled.md,Qwen2.5-14B,10/40,0.2500,0.7041,0.9189,1.0000,0.8462,0.8462,0.6083,compiler_repair_diagnostic,compiler fixes budget but still below reused 14B and transparent greedy
direct_model_output,pg40_direct_routing_limit5_qwen25_14b,experiments/20260619-a8002-pg40-direct-routing-limit5-qwen25-14b/summary_direct.md,Qwen2.5-14B,0/5,0.0000,0.1481,0.1481,0.4000,0.0987,0.1845,0.0000,direct_baseline_limit5,small sample; parse clean but role routing misses needed fragments and over-rejects
pilot_model_output,true_sseac_prompt_no_compiler_limit5_qwen25_14b,experiments/20260619-a8002-sseac-v0-pg40-limit5-gpu7-rerun-qwen25-14b/summary_model_only.md,Qwen2.5-14B,0/5,0.0000,0.7778,0.6562,0.0000,0.1803,1.1717,0.2333,limit5_diagnostic_no_compiler,small sample; over budget; not full40 comparable
pilot_model_output,true_sseac_prompt_compiler_limit5_qwen25_14b,experiments/20260619-a8002-sseac-v0-pg40-limit5-gpu7-rerun-qwen25-14b/summary_compiler.md,Qwen2.5-14B,0/5,0.0000,0.3704,0.8333,1.0000,0.4635,0.4635,0.3333,limit5_diagnostic_compiler,small sample; compiler fixes budget but coverage collapses due coarse multi-card units
pilot_model_output,true_sseac_cardunit_no_compiler_limit5_qwen25_14b,experiments/20260619-a8002-sseac-v0-pg40-limit5-cardunit-qwen25-14b/summary_model_only.md,Qwen2.5-14B,0/5,0.0000,0.8148,0.6667,0.0000,0.1803,1.2189,0.2333,limit5_cardunit_no_compiler,small sample; card-level prompt still over budget before compiler
pilot_model_output,true_sseac_cardunit_compiler_limit5_qwen25_14b,experiments/20260619-a8002-sseac-v0-pg40-limit5-cardunit-qwen25-14b/summary_compiler.md,Qwen2.5-14B,1/5,0.2000,0.6667,0.8571,1.0000,0.8155,0.8155,0.6000,limit5_cardunit_compiler,small sample; card-level unit improves coverage and utility but remains below source-ledger 14B and greedy baseline
pilot_model_output,true_sseac_roleplan_no_compiler_limit5_qwen25_14b,experiments/20260619-a8002-sseac-v0-pg40-limit5-roleplan-qwen25-14b/summary_model_only.md,Qwen2.5-14B,0/5,0.0000,0.7778,0.6774,0.0000,0.2918,1.1330,0.3000,limit5_roleplan_no_compiler,small sample; role-plan output still over budget before compiler
pilot_model_output,true_sseac_roleplan_compiler_limit5_qwen25_14b,experiments/20260619-a8002-sseac-v0-pg40-limit5-roleplan-qwen25-14b/summary_compiler.md,Qwen2.5-14B,1/5,0.2000,0.6667,0.8571,1.0000,0.7811,0.7811,0.5000,limit5_roleplan_compiler,small sample; role-plan does not improve over card-unit and is retired
diagnostic_postprocessor,true_sseac_cardunit_cost_rank_pruned_limit5,experiments/20260620-local-pg40-scope-rerank-preflight/summary_cost_rank_pruned.md,Qwen2.5-14B cardunit output + deterministic rerank,2/5,0.4000,0.8148,0.9565,1.0000,0.8755,0.8755,0.7000,scope_rerank_diagnostic,uses visible costs and role budgets; no scope projection; not a new model run
diagnostic_postprocessor,true_sseac_cardunit_scope_project_cost_rank_pruned_limit5,experiments/20260620-local-pg40-scope-rerank-preflight/summary_scope_project_cost_rank_pruned.md,Qwen2.5-14B cardunit output + deterministic scope projection,5/5,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,scope_projection_diagnostic,uses PG40 recipient_scope; limit5 transparent postprocessor; not official full-grid comparable
diagnostic_postprocessor,source_ledger_14b_scope_project_cost_rank_pruned_full40,experiments/20260620-local-pg40-scope-rerank-preflight/summary_source_ledger14_scope_project_cost_rank_pruned_full40.md,Qwen2.5-14B reused source-ledger output + deterministic scope projection,17/40,0.4250,0.8550,0.9031,1.0000,0.8845,0.8845,0.7512,full40_scope_projection_diagnostic,uses PG40 recipient_scope; improves predecessor but remains below utility-density greedy
diagnostic_postprocessor,source_ledger_7b_scope_project_cost_rank_pruned_full40,experiments/20260620-local-pg40-scope-rerank-preflight/summary_source_ledger7_scope_project_cost_rank_pruned_full40.md,Qwen2.5-7B reused source-ledger output + deterministic scope projection,4/40,0.1000,0.6805,0.8582,1.0000,0.7250,0.7250,0.4883,full40_weak_model_scope_projection_diagnostic,uses PG40 recipient_scope; improves weak predecessor but remains far below strong baselines
diagnostic_negative,no_scope_hybrid_budget_pruned_model_only_full40,experiments/20260620-local-pg40-no-scope-role-affinity-preflight/summary_hybrid_budget_pruned_model_only_full40.md,deterministic no-scope lexical selector,0/40,0.0000,0.5000,0.4605,1.0000,0.5243,0.5243,0.2275,no_scope_selector_negative,does not read recipient_scope; model_only readout shows lexical role affinity is too weak
diagnostic_negative,no_scope_cost_budget_pruned_model_only_full40,experiments/20260620-local-pg40-no-scope-role-affinity-preflight/summary_cost_budget_pruned_model_only_full40.md,deterministic no-scope cost selector,0/40,0.0000,0.5858,0.3882,1.0000,0.5467,0.5467,0.0750,no_scope_selector_negative,does not read recipient_scope; cost prior beats hybrid utility but role placement remains weak
diagnostic_negative,no_scope_hybrid_budget_pruned_compiler_full40,experiments/20260620-local-pg40-no-scope-role-affinity-preflight/summary_hybrid_budget_pruned_compiler_full40.md,deterministic no-scope lexical selector + SSEAC compiler,1/40,0.0250,0.5000,0.7934,1.0000,0.5243,0.5243,0.2775,scope_gate_diagnostic,selector does not read recipient_scope but compiler does; hard gate improves precision without restoring coverage
diagnostic_negative,no_scope_cost_budget_pruned_compiler_full40,experiments/20260620-local-pg40-no-scope-role-affinity-preflight/summary_cost_budget_pruned_compiler_full40.md,deterministic no-scope cost selector + SSEAC compiler,0/40,0.0000,0.5858,0.8722,1.0000,0.5467,0.5467,0.1808,scope_gate_diagnostic,selector does not read recipient_scope but compiler does; not a no-gold official route
pilot_model_output,pg40_pairwise_selector_model_only_limit5_qwen25_14b,experiments/20260620-a8002-pg40-pairwise-selector-limit5-qwen25-14b/summary_model_only.md,Qwen2.5-14B,0/5,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,limit5_pairwise_model_only_negative,parse clean; assignments follow surface actor roles and miss target recipients
pilot_model_output,pg40_pairwise_selector_compiler_limit5_qwen25_14b,experiments/20260620-a8002-pg40-pairwise-selector-limit5-qwen25-14b/summary_compiler.md,Qwen2.5-14B,0/5,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,limit5_pairwise_compiler_negative,parse clean; compiler prevents 14 out-of-scope assignments and admits no useful cards
