result_family,run_or_report,condition,benchmark_or_slice,model,primary_metric,secondary_metrics,main_table_status,claim_role,next_action
HiddenBench Stage 1,reports/20260617-hiddenbench-v2-stage1-full65-qwen25-14b.md,shared/full/oracle/old_exchange/fact_only,HiddenBench full65,Qwen2.5-14B,"shared 1/65; full_info 59/65; oracle_public_facts 56/65; old_exchange 24/65; fact_only 57/65","clean old 23/55 vs fact_only 55/55; rec leakage 225/253 to 0/253; shared overtalk 134/253 to 4/253",main_table_background,communication_necessity_and_fact_state_signal,Use as HSA-v0 seed and baseline ladder background
HiddenBench Stage 2,reports/20260617-hiddenbench-v2-stage2-sender-ablation-full65-qwen25-14b.md,old_exchange/no_recommendation/no_shared_repeat/fact_only,HiddenBench full65,Qwen2.5-14B,"24/65; 30/65; 33/65; 57/65","clean 23/55; 28/55; 31/55; 55/55; fact_only has no clean regression against the two local bans",main_table_background,public_state_contract_decomposition,Keep as mechanism decomposition; stop adding prompt-only variants
HiddenBench Stage 3,reports/20260617-hiddenbench-v2-stage3-blind-sender-full65-qwen25-14b.md,blind_minimal_vs_fact_only_vs_old_exchange,HiddenBench full65,Qwen2.5-14B,"blind_minimal 57/65; fact_only 57/65; old_exchange 24/65","clean blind_minimal 55/55; fact_only 55/55; old_exchange 23/55",main_table_background,sender_as_local_fact_sensor,Use to motivate HSA fact-state admission design
HiddenBench Stage 4,reports/20260617-hiddenbench-v2-stage4-sender-visibility-full65-qwen25-14b.md,visibility_minimal_matrix,HiddenBench full65,Qwen2.5-14B,"fact_only/blind_minimal/private_plus_task clean 55/55","options/shared/full visibility minimal 54/55; old exchange 23/55",main_table_background,public_message_output_contract,Use as boundary against visibility-hiding main claim
HiddenBench Stage 4 7B,reports/20260617-hiddenbench-v2-stage4-qwen25-7b-pressure.md,cross_model_visibility_pressure,HiddenBench full65 clean subset,Qwen2.5-7B,"old_exchange 16/50; minimal conditions 47/50; full_visibility_minimal 46/50","old exchange recommendation leakage 104/253; shared overtalk 150/253; minimal recommendation leakage 0",main_table_background,cross_model_public_message_pollution_signal,Use as 7B robustness caveat for HSA fact-state story
HSA-v0 adapter smoke,reports/20260618-hsa-v0-sseac-adapter.md,oracle/shared_only/all_scoped,HSA-v0 3 cases 9 rows,transparent_controls,"oracle 9/9; shared_only 6/9; all_scoped 9/9","shared base strict 0/3; all_scoped extra final cards 24",method_pipeline,packet_adapter_scorer_ready,Transparent controls fixed; compare against full9 model row
HSA-v0 full9 model,reports/20260619-hsa-v0-constraint-completion-postfilter.md,baseline_recall_focused_constraint_completion,HSA-v0 3 cases 9 rows,Qwen2.5-14B plus local postfilter,"baseline compiler 7/9; constraint_recall compiler 8/9; constraint_completion compiler 9/9","constraint_completion perturb strict 6/6; base strict 3/3; extra final cards 10; reuses constraint_recall predictions",main_table_candidate,paired_compiler_diagnostic,Expand HiddenBench seed shortlist to verify completion precision
PerspectiveGap contact,reports/20260618-perspectivegap-benchmark-contact.md,oracle/all_to_all/no_distractor/shared_intersection,PerspectiveGap 220 evals,deterministic_baselines,"oracle 220/220; over-sharing baselines 0/220","all_to_all precision 0.318 leak 3.800; shared_intersection precision 1.000 coverage 0.031",main_table_background,external_role_routing_pressure,Keep same stratified slice for model and Ours comparisons
PerspectiveGap raw model routing,reports/20260618-perspectivegap-model-smoke-and-paper-story.md,7B_vs_14B_raw_role_assignment,PerspectiveGap stratified20 x seeds 1 and 42,Qwen2.5-7B/Qwen2.5-14B,"both strict 0/40; coverage 0.443 vs 0.615","precision 0.786 vs 0.808; leak 0.050 vs 0.450",main_table_background,raw_model_routing_baseline,Add typed-router budget-router and SSEAC rows on the same slice
PerspectiveGap source-ledger rotated20,reports/20260618-perspectivegap-source-ledger-rotated20.md,source_ledger_router,PG rotated20 40 rows,Qwen2.5-7B/Qwen2.5-14B,"14B strict 3/40 coverage 0.854; 7B coverage 0.574","14B precision 0.779 budget_pass 0.225; 7B precision 0.745 budget_pass 0.350; reject_recall 1.000",main_table_candidate_background,source_scope_ledger_signal,Use as mechanism background not final Ours
PerspectiveGap budget compiler,reports/20260618-perspectivegap-budget-compiled-source-ledger.md,raw_source_ledger_to_compiler,PG rotated20 40 rows,Qwen2.5-7B/Qwen2.5-14B,"14B strict 3/40 to 12/40; 7B strict 0/40","14B coverage stays 0.854; precision/budget/reject 1.000; 7B precision/budget 1.000",main_table_candidate_background,deterministic_boundary_execution,Keep as compiler evidence; replace by tight-budget rows for main claim
PG40 tight-budget,reports/20260619-pg40-sseac-roleplan-limit5.md,oracle/utility_greedy/source_ledger/cardunit/roleplan,PG40 tight-budget,deterministic_and_Qwen2.5-14B,"oracle 40/40; utility_density_greedy 25/40; source_ledger_14B_compiled 11/40; cardunit limit5 1/5; roleplan limit5 1/5","utility 1.0000 vs 0.9825 vs 0.8707 vs 0.8155 vs 0.7811",diagnostic,strong_baseline_pressure_for_sseac,Pause PG40 unless a budget-aware ranking mechanism is ready
State Admission V1.1 local baselines,reports/20260618-state-admission-v1-local-baselines.md,oracle/item_density/bundle_density/group_density,SA-V1.1 full40,deterministic_baselines,"oracle 40/40; group_density 32/40; bundle_density 14/40","group_density utility 0.9666; item baselines 0/40",main_table_candidate,strong_symbolic_baseline,Use as fixed baseline ladder for all State Admission rows
State Admission V1.1 direct 14B,reports/20260618-state-admission-v1-qwen25-14b-pressure.md,direct_default_and_budget_first,SA-V1.1 full40,Qwen2.5-14B,"default 0/40; budget_first 0/40","default coverage 1.000 but global_budget_pass 0.000; empty roles filled 82/82",main_table_candidate,direct_admitted_state_failure,Keep as direct-generation failure baseline
